"STATION","NAME","DATE","ACMH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WSF1","WSF2","WSF5","WSFG","WSFM"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-01-01",,,,,"0.00",,"0.0","0.0",,"45","34",,,,,,"   45",,,,,"11.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-01-02",,,,,"0.00",,"0.0","0.0",,"42","34",,,,,,"  360",,,,,"17.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-01-03",,,,,"0.00",,"0.0","0.0",,"38","28",,,,,,"  315",,,,,"17.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-01-04",,,,,"0.00",,"0.0","0.0",,"30","21",,,,,,"   45",,,,,"17.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-01-05",,,,,"0.07",,"2.0","1.0",,"32","26",,,,,,"  360",,,,,"21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-01-06",,,,,"0.00",,"0.0","1.0",,"32","19",,,,,,"  360",,,,,"17.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-01-07",,,,,"0.00",,"0.0","0.0",,"40","27",,,,,,"  225",,,,,"25.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-01-08",,,,,"0.00",,"0.0","0.0",,"38","31",,,,,,"  270",,,,,"17.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-01-09",,,,,"0.00",,"0.0","0.0",,"32","29",,,,,,"  270",,,,,"15.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-01-10",,,,,"0.00",,"0.0","0.0",,"34","23",,,,,,"  315",,,,,"16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-01-11",,,,,"0.81",,"0.0","0.0",,"59","34",,,,,,"  180",,,,,"36.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-01-12",,,,,"0.20",,"0.0","0.0",,"60","26",,,,,,"  270",,,,,"33.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-01-13",,,,,"0.00",,"0.0","0.0",,"33","23",,,,,,"  315",,,,,"17.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-01-14",,,,,"0.01",,"0.0","0.0",,"51","33",,,,,,"   45",,,,,"19.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-01-15",,,,,"0.00",,"0.0","0.0",,"51","40",,,,,,"  360",,,,,"25.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-01-16",,,,,"0.00",,"0.0","0.0",,"47","34",,,,,,"  360",,,,,"25.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-01-17",,,,,"0.00",,"0.0","0.0",,"40","34",,,,,,"   45",,,,,"13.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-01-18",,,,,"0.44",,"0.0","0.0",,"45","38",,,,,,"  225",,,,,"8.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-01-19",,,,,"0.11",,"0.0","0.0",,"44","38",,,,,,"  315",,,,,"19.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-01-20",,,,,"0.00",,"0.0","0.0",,"43","30",,,,,,"  315",,,,,"23.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-01-21",,,,,"0.00",,"0.0","0.0",,"40","28",,,,,,"  270",,,,,"21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","1980-01-22",,,,,"0.08",,"0.0","0.0",,"43","32",,,,,,"  225",,,,,"16.1"
